ID_EMPRESA;EMPRESA;ID_OBRA;OBRA;RECEITA_RECEBIDA;RECEITA_BRUTA;SALDO_ABERTO;TITULOS
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;157;CONSTRUÇÃO DE ESPAÇO EDUCATIVO 12 SALAS - CAMPOS SALES;137739.30;137739.30;0.00;2
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;220;IFCE - CAMPUS JAGUARIBE - SUBESTAÇÃO - GRUPO 03;134348.10;134348.10;0.00;10
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;90;CRATO - CASA DE FARINHA PSJ;131289.36;131289.36;0.00;2
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;140;SAÚDE;130975.09;130975.09;0.00;8
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;45;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS FORTALEZA;128341.36;128341.36;0.00;8
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;233;IFCE - CAMPUS PARACURU - SUBESTAÇÃO - GRUPO 01;126415.10;126415.10;0.00;9
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;209;IFCE - CAMOCIM - SUBESTAÇÃO - GRUPO 02;126170.62;126170.62;0.00;16
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;10;IFCE MANUTENÇÃO PREDIAL - REITORIA;126139.40;126139.40;0.00;4
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;66;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS PECEM;121938.51;121938.51;0.00;3
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;147;QUADRA POLIESPORTIVA COM COBERTURA E VESTIÁRIOS MODELO 02 - CAMPOS SALES;120176.33;120176.33;0.00;3
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;65;IFCE MANUTENÇÃO PREDIAL - TIANGUA;114274.90;114274.90;0.00;8
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;215;IFCE - CAMPUS SOBRAL - SUBESTAÇÃO - GRUPO 02;112504.80;112504.80;0.00;3
3;METALÚRGICA POLY STEEL;30014;COBERTA METALICA - MADALENA;109000.00;109000.00;0.00;2
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;22;IFCE MANUTENÇÃO PREDIAL - BOA VIAGEM;106966.47;106966.47;0.00;6
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;161;REFORMA DO TERMINAL RODOVIÁRIO - PARACURU;105708.72;105708.72;0.00;1
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;111;REFORMA DOS CEMITÉRIOS PÚBLICOS EM CAUCAIA - CE;104627.27;104627.27;0.00;1
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;247;RESIDENCIAS UNIFAMILIARES JARDINS BOULEVARD - NOVUM;100000.00;100000.00;0.00;1
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;236;IFCE - CAMPUS UMIRIM - SUBESTAÇÃO - GRUPO 01;99986.89;99986.89;0.00;9
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;13;IFCE MANUTENÇÃO PREDIAL - PARACURU;97201.37;97201.37;0.00;4
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;228;IFCE - CAMPUS FORTALEZA - SUBESTAÇÃO - GRUPO 01;95243.28;95243.28;0.00;8
